官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: _raw_spin_trylock_bh 0x963dcba1
qca_cld3_wlan: sg_free_table 0x7f5b4fe4
qca_cld3_wlan: unregister_sysctl_table 0x6be0d38b
qca_cld3_wlan: register_sysctl_table 0xf97d7de2
qca_cld3_wlan: proc_dointvec 0xa8181adf
qca_cld3_wlan: module_put 0x78937c00
qca_cld3_wlan: try_module_get 0xa24e32e9
qca_cld3_wlan: vmalloc_to_page 0xb8bebcaa
qca_cld3_wlan: ipa_wdi_set_perf_profile 0xc3cd0a21
qca_cld3_wlan: ipa_wdi_disable_pipes 0x80b5bafc
qca_cld3_wlan: ipa_wdi_enable_pipes 0x5cb0915d
qca_cld3_wlan: ipa_wdi_dereg_intf 0x5cfec53d
qca_cld3_wlan: ipa_wdi_reg_intf 0x22290a11
qca_cld3_wlan: ipa_wdi_conn_pipes 0x7cae444c
qca_cld3_wlan: skb_queue_purge 0x73122d79
qca_cld3_wlan: seq_vprintf 0x306e1960
qca_cld3_wlan: single_open 0x18f69960
qca_cld3_wlan: single_release 0xd25ba373
qca_cld3_wlan: seq_read 0x007e19e2
qca_cld3_wlan: seq_lseek 0x67904730
qca_cld3_wlan: cfg80211_tdls_oper_request 0xfafb0685
qca_cld3_wlan: cfg80211_mgmt_tx_status 0x006bf697
qca_cld3_wlan: cfg80211_remain_on_channel_expired 0x536f25b5
qca_cld3_wlan: cfg80211_ready_on_channel 0x08551eed
qca_cld3_wlan: ipa_broadcast_wdi_quota_reach_ind 0xbf3a24d9
qca_cld3_wlan: ipa_get_wdi_stats 0x47ce0010
qca_cld3_wlan: ipa_send_msg 0x804e397e
qca_cld3_wlan: ipa_wdi_disconn_pipes 0xcd0e23d6
qca_cld3_wlan: ipa_wdi_cleanup 0x9cd51f9b
qca_cld3_wlan: ipa_setup_sys_pipe 0xa8136a86
qca_cld3_wlan: skb_pull 0x20e0fd27
qca_cld3_wlan: ipa_wdi_init 0x8c854c77
qca_cld3_wlan: ipa_wdi_release_smmu_mapping 0x6bceca2b
